,TeenageDream,IWanttoHoldYourHand,BeautyandABeat,ImSoExcited,BusyEarnin,CantStop,NewRules,Umbrella,WakeMeUp,StayinAlive,Imagine,SweetDreamsAreMadeofThis,TheWayYouMakeMeFeel,SweetCaroline,LoseYourself,RollingintheDeep,Happy,DANCE,TheNightWeMet,IWillAlwaysLoveYou,Titanium,Summer,Thriller,EyeoftheTiger,Attention,TakeABow,ImStillStanding,TheGreatGigintheSky,SmellsLikeTeenSpirit,YouCantHurryLove,IWantItThatWay,Despacito,UptownFunk,PokerFace,MrBrightside,AllAboutThatBass,HipsDontLie,EasyLover,Firework,WhatsTheUse,IWantYouBack,StillDRE,TheShowMustGoOn,Heartbreaker,PinkWhite,ILoveRocknRoll,JusttheWayYouAre,Smooth,HighwaytoHell,BohemianRhapsody,BadGuy,HeartOfTheCityAintNoLove,JustanIllusion,WakeMeUpBeforeYouGoGo,StayWithMe,Creep,LivinonaPrayer,IWantYoutoWantMe,BadRomance,CantStoptheFeeling,ImaBeliever,BorntoBeWild,UptownGirl,BlindingLights
before,0.1339035952556319,0,0,0,0,0,0,0,0,0,0,0,0.0991878483375051,0,0,0,0,0,0,0,0,0,0.06695179762781595,0,0,0,0,0,0,0.2975635450125153,0,0,0.078766820738607,0.06376361678839614,0,0,0,0.3825817007303768,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1339035952556319,0,1.2497668890525644,0,0.14878177250625765,0,0,0,0,0,0,0,0
met,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,2.3333333333333335,0,0,1.8181818181818181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
was,0.0915037499278844,0,0,0,0,0,0,0,0.6941663787632609,0.13556111100427318,0,0,0,0.2614392855082411,0.0538257352516967,0,0,0,0.15250624987980732,0,0,0,0,0,0,0.11437968740985549,0.06778055550213659,0.3660149997115376,0,0,0,0,0,0,0.6100249995192293,0,0,0,0,0,0.2091514284065929,0.056309999955621165,0,0,0.0963197367661941,0.47741086918896203,0,0,0,0,0,0,0,0.061002499951922924,0,0.30501249975961464,0,0,0,0,0.3852789470647764,0.3660149997115376,0,0
alright,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0,0,0,0,0,0,0,0,0,0
but,0.032122399769095825,0,0.04588914252727974,0,0.08030599942273955,0.05586504307668838,0.04588914252727974,0.014276622119598143,0.0664601374533017,0,0.1606119988454791,0,0.035691555298995356,0.18355657010911897,0.1889552927593872,0.06424479953819165,0,0,0,0.053537332948493034,0.39770590190309113,0.11680872643307572,0.032122399769095825,0,0.03381305238852192,0.04015299971136978,0.02379437019933024,0,0,0.21414933179397214,0.38546879722914984,0,0,0,0.21414933179397214,0.024709538283919863,0.053537332948493034,0.09177828505455948,0.035691555298995356,0.0944776463796936,0.07342262804364759,0.029651445940703836,0.12237104673941265,0,0,0,0.06762610477704384,0.030592761684853163,0,0.035691555298995356,0.07558211710375487,0.04818359965364373,0,0.06424479953819165,0.38546879722914984,0.10707466589698607,0,0,0,0.09177828505455948,0.03381305238852192,0,0.02007649985568489,0
things,0.1596322538971198,0,0.45609215399177083,0.07601535899862846,0,0,0,0.07094766839871991,0,0,0,0,0.059123056998933256,0,0,0.10642150259807986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22804607699588542,0,0,0,0
were,0.14150374992788436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2096351850783472,0.2358395832131406,0,0,0,0,0,0.19860175428475,0,0.1048175925391736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6064446425480758,0,0.36914021720317663,0,0,0,0,0,0,0,0,0,0.15722638880876041,0,0,0,0,0,0.5660149997115375,0,0
kinda,0.30000000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heavy,0.22075187496394222,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12985404409643658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7660149997115377,0,0
brought,0.30000000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
